0	2	2	2	2	2	2	2
2	2	2	2	1,96	1,96	2	2
2	2	2	2	2	2	2	2
2	2	1,96	1,96	2	2	2	2
2	2	2	2	2	2	1,96	1,96
2	2	2	2	2	2	2	2
2	2	1,96	1,96	2	2	2	2
2	2	2	2	2	2	2	2
1,96	1,96	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2
1,96	1,96	2	2	2	2	2	2
1,96	1,96	2	2	2	2	1,96	1,96
2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2
1,96	1,96	1,96	1,96	2	2	1,96	1,96
2	2	2	2	1,96	1,96	2	2
2	2	1,96	1,96	2	2	2	2
1,96	1,96	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	1,96	1,96	2	2	2	2
2	2	2	2	2	2	2	2
2	2	1,96	1,96	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2	2	2	2	1,96	1,96
2	2	2	2	1,96	1,96	2	2
2	2	2	2	1,96	1,96	2	2
2	2	2	2	2	2	2	2
1,96	1,96	2	2	2	2	2	2
2	2	1,96	1,96	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2,04	2,04	2	2	1,96	1,96
1,96	1,96	2	2	1,96	1,96	2	2
2	2	2	2	2	2	1,96	1,96
1,96	1,96	1,96	1,96	1,96	1,96	2	2
2	2	2	2	1,96	1,96	1,96	1,96
2	2	2	2	2	2	1,96	1,96
1,96	1,96	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	1,96	1,96	2	2	2	2
1,96	1,96	2	2	2	2	2	2
2	2	2	2	2	2	2	2
1,96	1,96	1,96	1,96	2	2	2	2
1,96	1,96	2	2	2	2	2	2
2	2	1,96	1,96	1,96	1,96	2	2
2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	1,96	1,96	2	2	2	2
1,96	1,96	1,96	1,96	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2	2	2	2	1,96	1,96
2	2	2	2	1,96	1,96	2	2
2	2	1,96	1,96	2	2	2	2
2	2	2	2	1,96	1,96	2	2
2	2	2	2	1,96	1,96	2	2
2	2	1,92	1,92	2	2	2	2
2	2	2	2	1,96	1,96	2	2
1,96	1,96	2	2	2	2	2	2
2	2	2	0,76	0,76	0	0	0
0	0	0	0	0	0	0	0
20,4	20,4	0	0	0	0	0	0
0	0	0	0	0	0	20,4	20,4
0	0	20,4	20,4	20,4	20,4	0	0
0	0	20,4	20,4	0	0	20,4	20,4
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	20,4	20,4	0	0	0	0
0	0	0	0	0	0	0	0
0	0	20,4	20,4	0	0	0	0
20,4	20,4	20,4	20,4	0	0	0	0
20,4	20,4	0	0	0	0	0	0
20,4	20,4	0	0	0	0	0	0
20,4	20,4	20,4	20,4	0	0	0	0
0	0	0	0	0	0	0	0
20,4	20,4	20,4	20,4	0,04	0,04	0	0
20,4	20,4	0,04	0,04	0	0	0	0
0	0	20,4	20,4	0	0	0	0
0	0	0	0	0	0	0	0
0	0	20,4	20,4	20,4	20,4	0	0
20,36	20,36	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0,04	0,04	0	0	0	0	0	0
0	0	0	0	20,4	20,4	20,4	20,4
0	0	20,4	20,4	0	0	0	0
0	0	0	0	0	0	0	0
20,4	20,4	0	0	20,4	20,4	0	0
0	0	0	0	20,4	20,4	0	0
0	0	20,4	20,4	0	0	20,4	20,4
0	0	0	0	20,4	20,4	0	0
20,4	20,4	0	0	0	0	0	0
20,4	20,4	0	0	0	0	0	0
0	0	20,4	20,4	0	0	20,4	20,4
0	0	0	0	0	0	20,4	20,4
0	0	0	0	20,4	20,4	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	20,4	20,4	0	0
0	0	0	0	0	0	0	0
20,4	20,4	20,4	20,4	20,4	20,4	20,4	20,4
0,04	0,04	20,4	20,4	0	0	0	0
0	0	0	0	20,4	20,4	0	0
0	0	20,4	20,4	0	0	0	0
20,4	20,4	0	0	0	0	0	0
20,4	20,4	20,4	20,4	20,4	20,4	0	0
0	0	0	0	20,4	20,4	0	0
20,4	20,4	0	0	0	0	0	0
20,4	20,4	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	20,4	20,4	0	0	20,4	20,4
0	0	0	0	0	0	0	0
20,4	20,4	0	0	20,4	20,4	0	0
0	0	0	0	20,4	20,4	0	0
0	0	0	0	0	0	0	0
0	0	0	0	20,4	20,4	0	0
0	0	0	0	0	0	0	0
0	0	0	0	20,4	20,4	0	1,36
1,36	2	2	2	2	2	1,96	1,96
2	2	2	2	1,96	1,96	2	2
2	2	2	2	2	2	2	2
2	2	2	2	2	2	1,96	1,96
2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2
1,96	1,96	2	2	2	2	2	2
2	2	2	2	1,96	1,96	2	2
2	2	1,96	1,96	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2	2	1,96	1,96	1,96	1,96
2	2	1,96	1,96	2	2	2	2
1,96	1,96	1,96	1,96	2	2	2	2
2	2	2	2	1,96	1,96	2	2
2	2	2	2	1,96	1,96	1,96	1,96
1,96	1,96	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2	2	1,96	1,96	2	2
1,96	1,96	2	2	2	2	1,96	1,96
2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2	2	2	2	1,96	1,96
2	2	2	2	2	2	1,96	1,96
2	2	2	2	2	2	1,96	1,96
1,96	1,96	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2	2	1,96	1,96	2	2
2	2	1,96	1,96	2	2	2	2
1,96	1,96	1,96	1,96	1,96	1,96	2	2
2	2	2	2	1,92	1,92	2	2
2	2	1,96	1,96	2	2	1,96	1,96
2	2	2	2	2	2	1,96	1,96
2	2	2	2	2	2	2	2
2	2	2	2	2	2	1,96	1,96
2	2	2	2	2	2	1,96	1,96
1,96	1,96	2	2	2	2	2	2
2	2	2	2	2	2	1,96	1,96
1,96	1,96	2	2	2	2	2	2
1,96	1,96	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	1,96	1,96	1,96	1,96	2	2
2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2
2	2	1,96	1,96	2	2	2	2
2	2	2	2	2	2	1,96	1,96
2	2	2	2	2	2	1,96	1,96
1,96	1,96	1,96	1,96	2	2	2	2
2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2
1,96	1,96	2	2	2	2	1,96	1,96
2	2	2	2	1,96	1,96	2	2
2	2	1,96	1,96	2	2	1,96	1,96
1,96	1,96	2	2	2	2	1,96	1,96
1,96	1,96	2	2	2	2	2	2
2	2	2	2	1,96	1,96	2	2
2	2	1,96	1,96	2	2	2	2
2	2	2	2	1,96	1,96	1,96	1,96
2	2	2	2	1,96	1,96	2	2
2	2	2	1,12	1,12	20,4	0	0
20,4	20,4	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	20,4	20,4	0	0	0	0
0	0	0	0	0	0	20,4	20,4
0	0	20,4	20,4	0	0	20,4	20,4
0	0	20,4	20,4	0	0	0	0
0	0	0	0	20,4	20,4	0	0
0,04	0,04	0	0	0	0	0	0
0	0	0	0	0	0	20,4	20,4
20,4	20,4	20,36	20,36	0	0	0	0
20,4	20,4	20,4	20,4	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	20,4	20,4	0	0	0	0
0	0	0	0	20,4	20,4	0	0
0	0	0	0	0	0	0	0
0	0	20,4	20,4	0	0	0	0
20,4	20,4	20,4	20,4	0	0	20,4	20,4
0	0	20,4	20,4	0	0	20,4	20,4
0	0	0	0	0	0	20,4	20,4
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
20,4	20,4	0	0	0	0	20,4	20,4
20,4	20,4	0	0	0	0	0	0
20,4	20,4	20,4	20,4	0	0	20,4	20,4
0	0	0	0	0	0	20,4	20,4
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	20,4	20,4	0	0
20,4	20,4	0	0	0	0	0	0
0	0	0	0	0	0	0	0
20,4	20,4	0	0	0	0	20,4	20,4
0	0	0	0	0	0	0	0
0	0	20,4	20,4	0	0	20,4	20,4
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	20,4	20,4	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	20,4	20,4	0	0	20,4	20,4
20,4	20,4	20,4	20,4	0	0	0	0
0	0	0	0	0	0	0	0
20,4	20,4	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	20,4	20,4	0	0	20,4	20,4
0	0	0	0	0	0	0	0
